_time,price,carbonIntensity,fossilFuelPercentage,fossilEnergy,renewableEnergy,cloud_cover,dew_point,pressure_msl,relative_humidity,sunshine,temperature,visibility,wind_gust_speed,wind_speed,month,day,dayofweek,dayofyear,hour
2022-01-01 01:00:00+00:00,41.33,205.1741374860642,27.496378667454387,2614.1875,8997.875,100.0,11.0,1017.5,96.0,0.0,11.6,12000.0,34.9,18.4,1,1,5,1,1
2022-01-01 02:00:00+00:00,43.22,209.26344250350772,28.192717681584494,2593.8125,8642.25,100.0,11.0,1018.4,96.0,0.0,11.6,6000.0,36.0,19.4,1,1,5,1,2
2022-01-01 03:00:00+00:00,45.46,214.20901561175646,28.97129746148144,2594.25,8329.25,100.0,11.1,1018.9,97.0,0.0,11.6,7000.0,34.9,21.6,1,1,5,1,3
2022-01-01 04:00:00+00:00,37.67,219.7446482079976,29.843528322047284,2601.875,8020.875,100.0,10.7,1019.3,95.0,0.0,11.5,20000.0,33.8,18.0,1,1,5,1,4
2022-01-01 05:00:00+00:00,39.7,234.1007997999714,31.64956661782281,2658.75,7497.4375,87.0,10.6,1019.6,94.0,0.0,11.5,20000.0,27.7,16.2,1,1,5,1,5
2022-01-01 06:00:00+00:00,40.59,238.1095620398276,32.09020905608969,2690.375,7420.4375,100.0,10.5,1020.2,93.0,0.0,11.6,20000.0,30.2,16.9,1,1,5,1,6
2022-01-01 07:00:00+00:00,43.26,249.6423796655191,33.14624855539987,2778.9375,7215.9375,87.0,10.2,1020.7,91.0,0.0,11.6,17000.0,31.3,17.3,1,1,5,1,7
2022-01-01 08:00:00+00:00,49.66,263.9719871732519,35.08251989224425,2862.4375,6798.5,87.0,10.1,1021.4,90.0,0.0,11.7,17000.0,29.5,16.2,1,1,5,1,8
2022-01-01 09:00:00+00:00,70.05,265.22229323422476,34.77104347618561,2901.25,6969.625,87.0,10.2,1021.9,90.0,0.0,11.8,17000.0,28.1,16.6,1,1,5,1,9
2022-01-01 10:00:00+00:00,76.79,267.9026369340597,34.765127088559744,2967.875,7084.1875,87.0,10.0,1022.7,89.0,0.0,11.8,18000.0,32.8,17.3,1,1,5,1,10
2022-01-01 11:00:00+00:00,84.1,269.47123610941526,34.73603238286918,3003.3125,7172.25,87.0,10.1,1022.9,88.0,0.0,12.1,14000.0,27.7,16.9,1,1,5,1,11
2022-01-01 12:00:00+00:00,94.74,276.5933547094291,34.442861439731885,3070.75,7220.1875,87.0,9.9,1022.9,85.0,0.0,12.4,16000.0,32.4,19.8,1,1,5,1,12
